DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
221417121,2022-09-29,2020-02-05,1200,Pacific,THEFT OF IDENTITY,51,F,W,,Invest Cont,11500    CULVER                       BL
221515500,2022-09-29,2020-09-01,0905,N Hollywood,THEFT OF IDENTITY,86,F,W,,Invest Cont,11300    OTSEGO                       ST
221819021,2022-10-05,2020-07-31,1200,Southeast,THEFT OF IDENTITY,28,F,B,,Invest Cont,2100 E  105TH                        ST
220217693,2022-09-29,2020-01-01,0800,Rampart,THEFT OF IDENTITY,47,M,W,,Invest Cont,800 S  CARONDELET                   ST
"221915597,2022-10-11,2020-06-01,0005,Mission,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),9,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,13100    BORDEN                       AV"
220715286,2022-10-13,2020-06-01,2359,Wilshire,DISTURBING THE PEACE,59,F,W,,Invest Cont,100 S  FLORES                       ST
222115311,2022-10-12,2020-11-19,1200,Topanga,THEFT OF IDENTITY,51,F,H,,Invest Cont,8400    DE SOTO                      AV
220318344,2022-10-12,2020-01-01,1200,Southwest,THEFT OF IDENTITY,55,M,H,,Invest Cont,1800 W  24TH                         ST
"220917253,2022-12-13,2020-12-21,1800,Van Nuys,INTIMATE PARTNER - SIMPLE ASSAULT,20,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,VANOWEN"
221115187,2022-10-17,2020-07-01,0001,Northeast,THEFT OF IDENTITY,54,M,W,,Invest Cont,2500    LANGDALE                     AV
221221473,2022-10-12,2020-01-17,0001,77th Street,THEFT OF IDENTITY,49,F,B,,Invest Cont,2600 W  67TH                         ST
221221507,2022-10-06,2020-07-10,1110,77th Street,THEFT OF IDENTITY,40,F,B,,Invest Cont,7400    HAAS
"221715311,2022-10-16,2020-07-11,0200,Devonshire,BATTERY - SIMPLE ASSAULT,30,M,O,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,11700    THUNDERBIRD                  AV"
221916382,2022-11-02,2020-11-11,1200,Mission,THEFT OF IDENTITY,31,F,B,,Invest Cont,15100    TAMARACK                     CT
221516921,2022-11-02,2020-02-01,1200,N Hollywood,THEFT OF IDENTITY,41,M,W,,Invest Cont,4400    CARTWRIGHT                   AV
"221916426,2022-11-02,2020-01-09,1000,Mission,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",37,M,H,,Invest Cont,14600    PARTHENIA                    ST"
"221115990,2022-11-07,2020-10-06,0001,Northeast,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),7,M,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,300 N  AVENUE 52"
221514248,2022-08-30,2020-08-04,1430,N Hollywood,CONTEMPT OF COURT,30,F,W,VERBAL THREAT,Adult Arrest,11900    RIVERSIDE                    DR
220319411,2022-10-31,2020-10-30,2000,Southwest,PICKPOCKET,34,F,H,,Invest Cont,700    EXPOSITION                   BL
221917823,2022-12-12,2020-04-05,1550,Mission,THEFT OF IDENTITY,23,M,B,,Invest Cont,15400    EL CAJON                     ST
"221418374,2022-10-30,2020-10-30,2025,Pacific,BATTERY - SIMPLE ASSAULT,22,M,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,5000 S  SLAUSON                      AV"
221614062,2022-11-07,2020-02-26,1200,Foothill,THEFT OF IDENTITY,48,F,H,,Invest Cont,8600    HERRICK                      AV
221916494,2022-11-02,2020-11-02,1225,Mission,EXTORTION,21,M,H,,Invest Cont,14500    LANARK                       ST
"231905726,2023-02-08,2020-01-01,0001,Mission,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),5,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,14700    BLYTHE                       ST"
221516997,2022-11-04,2020-08-04,1200,N Hollywood,THEFT OF IDENTITY,62,F,W,,Invest Cont,12800    VICTORY                      BL
220219783,2022-11-05,2020-03-05,0930,Rampart,THEFT OF IDENTITY,75,F,O,,Invest Cont,400 S  BURLINGTON                   AV
